title,document_url,company_url,page_number
KCB Group Plc (KCB.ke) HY2025 Presentation,https://africanfinancials.com/document/ke-kcb-2025-pr-hy/,https://africanfinancials.com/company/ke-kcb/,6
Olympia Capital Holdings Limited (OCH.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-och-2025-ar-00/,https://africanfinancials.com/company/ke-och/,6
Equity Bank Limited (EQTY.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-eqty-2025-ir-hy/,https://africanfinancials.com/company/ke-eqty/,6
Stanbic Holdings Plc (SBIC.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-sbic-2025-ir-hy/,https://africanfinancials.com/company/ke-sbic/,6
Equity Bank Limited (EQTY.ke) Q12025 Presentation,https://africanfinancials.com/document/ke-eqty-2025-pr-q1/,https://africanfinancials.com/company/ke-eqty/,6
East African Breweries PLC (EABL.ke) 2025 Presentation,https://africanfinancials.com/document/ke-eabl-2025-pr-00/,https://africanfinancials.com/company/ke-eabl/,6
East African Breweries PLC (EABL.ke) 2025 Abridged Report,https://africanfinancials.com/document/ke-eabl-2025-ab-00/,https://africanfinancials.com/company/ke-eabl/,7
East African Breweries PLC (EABL.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-eabl-2025-ar-00/,https://africanfinancials.com/company/ke-eabl/,7
Williamson Tea Kenya Limited (WTK.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-wtk-2025-ar-00/,https://africanfinancials.com/company/ke-wtk/,7
Safaricom PLC (SCOM.ke) 2025 Abridged Report,https://africanfinancials.com/document/ke-scom-2025-ab-00/,https://africanfinancials.com/company/ke-scom/,7
Kapchorua Tea Company Plc (KAPC.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-kapc-2025-ar-00/,https://africanfinancials.com/company/ke-kapc/,7
Safaricom PLC (SCOM.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-scom-2025-ar-00/,https://africanfinancials.com/company/ke-scom/,7
Centum Investment Company Plc (CTUM.ke) 2025 Presentation,https://africanfinancials.com/document/ke-ctum-2025-pr-00/,https://africanfinancials.com/company/ke-ctum/,7
BOC Kenya Limited (BOC.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-boc-2024-ar-00/,https://africanfinancials.com/company/ke-boc/,7
