title,document_url,company_url,page_number,direct_download_url
The Kenya Power & Lighting Company Plc (KPLC.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kplc-2024-ar-00/,https://africanfinancials.com/company/ke-kplc/,19,https://drive.google.com/uc?export=download&id=1Vg6Zlg16wMLAPHfFRU-6KBvi8LOyPSVf
Unga Group Limited (UNGA.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-unga-2024-ar-00/,https://africanfinancials.com/company/ke-unga/,19,https://drive.google.com/uc?export=download&id=1ENXfUF6yutFrvThwi6e-loFEUtDPmYqW
KenGen Limited (KEGN.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kegn-2024-ar-00/,https://africanfinancials.com/company/ke-kegn/,19,https://drive.google.com/uc?export=download&id=1sfXRWhQGtsfuXBMHZpw5Jrn-ZgKGnadt
Carbacid Investments Plc (CARB.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-carb-2024-ar-00/,https://africanfinancials.com/company/ke-carb/,19,https://drive.google.com/uc?export=download&id=1z9dnNwEP_RlEaoNw9EdhE3Gwxeskj5Mq
Longhorn Publishers Plc (LKL.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-lkl-2024-ar-00/,https://africanfinancials.com/company/ke-lkl/,19,https://drive.google.com/uc?export=download&id=1ISfNSQApMTxq2qbXdUallD7YmuIVTmN8
East African Breweries PLC (EABL.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-eabl-2024-ar-00/,https://africanfinancials.com/company/ke-eabl/,21,https://drive.google.com/uc?export=download&id=1ULQJmDXcuWdql0Qlsn4rBwEG64FLQnFi
Centum Investment Company Plc (CTUM.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-ctum-2024-ar-00/,https://africanfinancials.com/company/ke-ctum/,21,https://drive.google.com/uc?export=download&id=1idf_l1e5gMOWbecqIgGbrs9KETU0UZof
Kapchorua Tea Company Plc (KAPC.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kapc-2024-ar-00/,https://africanfinancials.com/company/ke-kapc/,21,https://drive.google.com/uc?export=download&id=1wSs08g2jbSq0bQ43MeSpphUD1efEXchi
Williamson Tea Kenya Limited (WTK.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-wtk-2024-ar-00/,https://africanfinancials.com/company/ke-wtk/,22,https://drive.google.com/uc?export=download&id=1uxRBgP50diagG4EM8hOman87HUUJOEI2
Eaagads Limited (EGAD.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-egad-2024-ar-00/,https://africanfinancials.com/company/ke-egad/,22,https://drive.google.com/uc?export=download&id=1o7vfYZ-r7TlfOmHiqaj4uSxSAZxJyyqb
Express Limited (XPRS.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-xprs-2023-ar-00/,https://africanfinancials.com/company/ke-xprs/,23,https://drive.google.com/uc?export=download&id=1iZunKYYNjhfcI4ij5ttCyhI6TdxCCWHA
Standard Group Limited (SGL.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-sgl-2023-ar-00/,https://africanfinancials.com/company/ke-sgl/,25,https://drive.google.com/uc?export=download&id=1PDfbRbSOE2knY1Slyd0MePvc30u0waFM
Olympia Capital Holdings Limited (OCH.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-och-2024-ar-00/,https://africanfinancials.com/company/ke-och/,25,https://drive.google.com/uc?export=download&id=1eczTMlxhAFrWxXyoyj1GrQOurQCgI4T7
Safaricom PLC (SCOM.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-scom-2024-ar-00/,https://africanfinancials.com/company/ke-scom/,25,https://drive.google.com/uc?export=download&id=1upQ2Yh7G0Uor5sErdXlFe7-oHdHwtVHd
