title,document_url,company_url,page_number
East Africa Cables Plc(CABL.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-cabl-2023-ar-00/,https://africanfinancials.com/company/ke-cabl/,9
Standard Chartered Bank Limited (SCBK.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-scbk-2023-ar-00/,https://africanfinancials.com/company/ke-scbk/,9
KCB Group Plc (KCB.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-kcb-2023-ar-00/,https://africanfinancials.com/company/ke-kcb/,9
Car & General Limited (CGEN.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-cgen-2023-ar-00/,https://africanfinancials.com/company/ke-cgen/,9
Umeme Limited (UMME.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-umme-2023-ar-00/,https://africanfinancials.com/company/ke-umme/,9
Liberty Kenya Holdings Limited (LBTY.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-lbty-2023-ar-00/,https://africanfinancials.com/company/ke-lbty/,9
Stanlib Fahari I-REIT (FAHR.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-fahr-2023-ar-00/,https://africanfinancials.com/company/ke-fahr/,9
Kenya Orchards Plc (ORCH.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-orch-2023-ar-00/,https://africanfinancials.com/company/ke-orch/,9
Kakuzi Limited (KUKZ.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-kukz-2023-ar-00/,https://africanfinancials.com/company/ke-kukz/,9
Longhorn Publishers Plc (LKL.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-lkl-2023-ar-00/,https://africanfinancials.com/company/ke-lkl/,9
KenGen Limited (KEGN.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-kegn-2023-ar-00/,https://africanfinancials.com/company/ke-kegn/,9
HF Group Limited (HFCK.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-hfck-2024-ar-00/,https://africanfinancials.com/company/ke-hfck/,10
British American Tobacco Kenya Limited (BAT.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-bat-2024-ar-00/,https://africanfinancials.com/company/ke-bat/,10
I&M Group Plc (IMH.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-imh-2024-ar-00/,https://africanfinancials.com/company/ke-imh/,10
BK Group Plc (BKG.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-bkg-2024-ar-00/,https://africanfinancials.com/company/ke-bkg/,10
Jubilee Holdings Limited (JUB.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-jub-2024-ar-00/,https://africanfinancials.com/company/ke-jub/,10
Olympia Capital Holdings Limited (OCH.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-och-2022-ar-00/,https://africanfinancials.com/company/ke-och/,11
Kapchorua Tea Company Plc (KAPC.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-kapc-2023-ar-00/,https://africanfinancials.com/company/ke-kapc/,11
Williamson Tea Kenya Limited (WTK.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-wtk-2023-ar-00/,https://africanfinancials.com/company/ke-wtk/,11
Safaricom PLC (SCOM.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-scom-2023-ar-00/,https://africanfinancials.com/company/ke-scom/,11
Trans-Century Limited (TCL.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-tcl-2022-ar-00/,https://africanfinancials.com/company/ke-tcl/,11
Kenya Airways Limited (KQ.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-kq-2022-ar-00/,https://africanfinancials.com/company/ke-kq/,11
TPS Eastern Africa (Serena) Limited (TPSE.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-tpse-2022-ar-00/,https://africanfinancials.com/company/ke-tpse/,11
Home Afrika Limited (HAFR.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-hafr-2022-ar-00/,https://africanfinancials.com/company/ke-hafr/,11
Equity Bank Limited (EQTY.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-eqty-2022-ar-00/,https://africanfinancials.com/company/ke-eqty/,11
Jubilee Holdings Limited (JUB.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-jub-2022-ar-00/,https://africanfinancials.com/company/ke-jub/,11
E.A. Cables Limited (CABL.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-cabl-2022-ar-00/,https://africanfinancials.com/company/ke-cabl/,11
Limuru Tea PLC (LIMT.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-limt-2022-ar-00/,https://africanfinancials.com/company/ke-limt/,11
Sameer Africa Limited (SAMEER.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-sameer-2024-ar-00/,https://africanfinancials.com/company/ke-sameer/,12
Liberty Kenya Holdings Limited (LBTY.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-lbty-2024-ar-00/,https://africanfinancials.com/company/ke-lbty/,12
The Co-operative Bank of Kenya Limited (COOP.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-coop-2022-ar-00/,https://africanfinancials.com/company/ke-coop/,13
Nairobi Securities Exchange Limited (NSE.ke) 2022 Annual Report,https://africanfinancials.com/document/ke-nse-2022-ar-00/,https://africanfinancials.com/company/ke-nse/,13
